Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ullah, Rahmat; Asghar, Ikram; Malik, Hassan; Evans, Gareth; Ahmad, Jawad; Roberts, Dorothy Anne; ",Enhancing Forensic Audio Transcription with Neural Network-Based Speaker Diarization and Gender Classification,2024 International Conference on Engineering and Emerging Technologies (ICEET),,,1-6,2024,IEEE
"Shafique, Usman; Khan, Hikmat; Waqar, S; Sher, A; Zeb, Adnan; Shafi, U; Ullah, Rehmat; ",Modern authentication techniques in smart phones: Security and usability perspective,IJACSA) International Journal of Advanced Computer Science and Applications,8,1,331-340,2017,
"Alasbali, Nada; Ahmad, Jawad; Siddique, Ali Akbar; Al Mazroa, Alanoud; Raza, Asif; Ullah, Rahmat; Khan, Muhammad Shahbaz; ",Privacy-Enhanced Skin Disease Classification: Integrating Federated Learning in an IoT-Enabled Edge Computing,Frontiers in Computer Science,7,,1550677,2025,Frontiers
"Ullah, Rahmat; Asghar, Ikram; Akbar, Saeed; Evans, Gareth; Vermaak, Justus; Alblwi, Abdulaziz; Bamaqa, Amna; ",Vision-Based Activity Recognition for Unobtrusive Monitoring of the Elderly in Care Settings,Technologies,13,5,184,2025,MDPI
"Umair, Muhammad; Ahmad, Jawad; Saidani, Oumaima; Alshehri, Mohammed; Al Mazroa, Alanoud; Hanif, Muhammad; Ullah, Rahmat; Khan, Muhammad Shahbaz; ",OculusNet: Detection of Retinal Diseases Using A Tailored Web-Deployed Neural Network and Saliency Maps for Explainable AI,Frontiers in Medicine,12,,1596726,2025,Frontiers
"Mubeen, Zeeshan; Ali, Zulfiqar; Ullah, Rahmat; Singh, Vishal Krisha; Ahmad, Muhammad Haroon; ",Improving Breast Cancer Detection in BUS Images Using Multimodal Deep Learning and Grad-CAM Fusion,International Conference on Smart Systems and Emerging Technologies,,,108-119,2024,Springer
"Ogbuagu, Florence Chioma; Asghar, Ikram; Amjad, Sunnia; Ullah, Rahmat; ",Optimizing Software Development Projects: Implementing a Scope Tracker Application to Mitigate Scope Creep,International Conference on Smart Systems and Emerging Technologies,,,308-320,2024,Springer
"Aregbesola, Gbenga David; Asghar, Ikram; Akbar, Saeed; Ullah, Rahmat; ",Fuzzy Logic Model for Informed Decision-Making in Risk Assessment During Software Design,Systems,13,9,825,2025,MDPI
"Ullah, Rahmat; Asghar, Ikram; Evans, Gareth; Nawaz, Rab; Akbar, Saeed; Roberts, Dorothy Anne; ",Enhancing Speaker Diarization in Forensic Audio: A Comparative Analysis of Machine Learning Algorithms for Gender Classification,International Conference on Smart Systems and Emerging Technologies,,,150-161,2024,Springer
"Masood, Fahad; Ahmad, Jawad; Alasbali, Nada; Nafea, Ibtehal; Saeed, Faisal; Ullah, Rahmat; ",Multimodal data analysis for post-decortication therapy optimization using IoMT and reinforcement learning,Journal of Intelligent Systems,34,1,20240417,2025,De Gruyter
"Khan, Abdul Wahid; Khan, Saad Ullah; Alnajim, Abdullah M; Khan, Faheem; Khan, Rahmatullah; ",Identifying and prioritizing key success factors for scaling DevOps methods in distributed software development environment using analytical hierarchy process,The Journal of Supercomputing,81,11,1189,2025,Springer
"Shah, Etizaz Ahsan; Ahsan, Syeda Javeria; Qureshi, Muhammad Farrukh; Khalid, Sohail; Ullah, Rahmat; Rehman, Mujeeb Ur; ",Machine Learning and Multivariate Analysis of Depression Prevalence and Predictors in Acute Coronary Syndrome,IEEE Access,,,,2025,IEEE
"Kritika Jindal , Govind Agarwal , Abishi Chowdhury , Vishal Krishna Singh , Rahmat Ullah , Mujeeb Ur Rehman, Amrit Pal; ",Deep Learning Based Captioning of Toys in a Smart Monitoring System,2025 International Joint Conference on Neural Networks (IJCNN),,,,2025,
"Mastoi, Qurat-Ul-Ain; Latif, Shahid; Brohi, Sarfraz; Ahmad, Jawad; Alqhatani, Abdulmajeed; Alshehri, Mohammed S; Al Mazroa, Alanoud; Ullah, Rahmat; ",Explainable AI in medical imaging: an interpretable and collaborative federated learning model for brain tumor classification.,Frontiers in Oncology,15,,1535478-,2025,Frontiers Media SA
"Ullah, Rahmat; Asghar, Ikram; Nawaz, Rab; Stacey, Craig; Akbar, Saeed; Bishop, Peter; ",A real time action scoring system for movement analysis and feedback in physical therapy using human pose estimation,Scientific Reports,15,1,44784,2025,Nature Publishing Group UK London
"Abrar, Muhammad; Khalid, Sohail; Ullah, Rahmat; ",The intersection of artificial intelligence and assistive technologies in the diagnosis and intervention of mental health conditions,Artificial Intelligence Review,59,2,40,2026,Springer
"Akbar, Saeed; Waqas, Muhammad; Ullah, Rahmat; ",Agentic Fog: A Policy-driven Framework for Distributed Intelligence in Fog Computing,arXiv preprint arXiv:2601.20764,,,,2026,
"Ullah, Rahmat; Arslan, Tughrul; ",PySpark-based optimization of microwave image reconstruction algorithm for head imaging big data on high-performance computing and Google cloud platform,Applied Sciences,10,10,3382,2020,MDPI
"Chen, Xin; Zeng, Deze; Ullah, Rahmat; Nawaz, Rab; Xu, Jiafeng; Arslan, Tughrul; ",A deep learning approach for non-invasive Alzheimer’s monitoring using microwave radar data,Neural Networks,181,,106778,2025,Elsevier
"Khan, Sagheer and Anwar, Usman and Khurshid, Kiran and Ullah, Rahmat and Arslan, Tughrul and Ahmed, Moataz; ",AI-Driven EMG Monitoring and Decision Support Framework,IEEE Sensors Journal,,,,2026,IEEE
